Loc_name,Status,Score,Match_type,Match_addr,Addr_type,City,Postal,Country,Distance,X,Y,idm,year,rank_1,company_na,address,address2,city_1,zip,industry,foundingye,revenue,employees,growth,high,county,state_name,county_nam,state_code,cbsa,metro,full_name,FID_2,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
USA.PointAddress,M,100,A,"3865 W Naples Dr, Las Vegas, Nevada, 89103",PointAddress,Las Vegas,89103,USA,0,-115.19228,36.106383,20083330,2008,3324,Commercial Roofers,3865 W. Naples Dr., ,Las Vegas,89103,Construction,1997,39106529,250,1.007,1,32003,NV,Clark County,32,29820,"Las Vegas-Paradise, NV Metropolitan Statistical Area","Las Vegas-Paradise, NV",292,32,3,2956,32003002956,29.56,Census Tract 29.56,G5020,S,3981480,0,36.1081117,-115.1944038
USA.StreetAddress,M,90.92,A,"4170 W Harmon Ave, Las Vegas, Nevada, 89103",StreetAddress,Las Vegas,89103,USA,0,-115.195225,36.108232,20093220,2009,3221,Fasteners Inc. Southwestern Supply,4170 W. Harmon #4, ,Las Vegas,89103,Consumer Products & Services,1987,88778713,100,0.816,1,32003,NV,Clark County,32,29820,"Las Vegas-Paradise, NV Metropolitan Statistical Area","Las Vegas-Paradise, NV",292,32,3,2956,32003002956,29.56,Census Tract 29.56,G5020,S,3981480,0,36.1081117,-115.1944038
USA.PointAddress,M,100,A,"4755 Dean Martin Dr, Las Vegas, Nevada, 89103",PointAddress,Las Vegas,89103,USA,0,-115.181361,36.103203,20092597,2009,2598,Gatski Commercial Real Estate Services,4755 Dean Martin Drive,N/A,Las Vegas,89103,Real Estate,1993,6198762,70,1.143,1,32003,NV,Clark County,32,29820,"Las Vegas-Paradise, NV Metropolitan Statistical Area","Las Vegas-Paradise, NV",292,32,3,2956,32003002956,29.56,Census Tract 29.56,G5020,S,3981480,0,36.1081117,-115.1944038
USA.PointAddress,M,100,A,"4230 S Decatur Blvd, Las Vegas, Nevada, 89103",PointAddress,Las Vegas,89103,USA,0,-115.208027,36.113061,20142350,2014,2350,Peters & Associates,4230 S. Decatur Blvd.,Ste. 200,Las Vegas,89103,Financial Services,2009,3681847,12,1.6557,1,32003,NV,Clark County,32,29820,"Las Vegas-Paradise, NV Metropolitan Statistical Area","Las Vegas-Paradise, NV",292,32,3,2956,32003002956,29.56,Census Tract 29.56,G5020,S,3981480,0,36.1081117,-115.1944038
USA.PointAddress,M,100,A,"2675 S Jones Blvd, Las Vegas, Nevada, 89146",PointAddress,Las Vegas,89146,USA,0,-115.225324,36.140961,20092297,2009,2298,Capstone Brokerage,"2675 S. Jones Blvd, Ste 102",N/A,Las Vegas,89146,Insurance,1997,2312443,25,1.346,1,32003,NV,Clark County,32,29820,"Las Vegas-Paradise, NV Metropolitan Statistical Area","Las Vegas-Paradise, NV",300,32,3,2947,32003002947,29.47,Census Tract 29.47,G5020,S,3337435,0,36.1348469,-115.2340194
USA.PointAddress,M,100,A,"6110 Elton Ave, Las Vegas, Nevada, 89107",PointAddress,Las Vegas,89107,USA,0,-115.225461,36.171988,20091947,2009,1948,Danoski Clutts Building Group,6110 Elton Avenue, ,Las Vegas,89107,Construction,2001,24931000,27,1.637,1,32003,NV,Clark County,32,29820,"Las Vegas-Paradise, NV Metropolitan Statistical Area","Las Vegas-Paradise, NV",304,32,3,3001,32003003001,30.01,Census Tract 30.01,G5020,S,1357312,0,36.1701407,-115.2329128
USA.StreetAddress,M,90.92,A,"500 N Rainbow Blvd, Las Vegas, Nevada, 89107",StreetAddress,Las Vegas,89107,USA,0,-115.242837,36.177205,20152536,2015,2536,Alderus Funding and Investments,500 N Rainbow,Ste 110,Las Vegas,89107,Financial Services,2006,2129476,21,1.4632,1,32003,NV,Clark County,32,29820,"Las Vegas-Paradise, NV Metropolitan Statistical Area","Las Vegas-Paradise, NV",315,32,3,3102,32003003102,31.02,Census Tract 31.02,G5020,S,1425467,0,36.1775196,-115.2342271
USA.PointAddress,M,100,A,"500 N Rainbow Blvd, Las Vegas, Nevada, 89107",PointAddress,Las Vegas,89107,USA,0,-115.24284,36.177199,20151146,2015,1146,Infront Consulting Group,500 North Rainbow Blvd,Suite 300,Las Vegas,89107,IT Services,2008,3678210,7,3.694,1,32003,NV,Clark County,32,29820,"Las Vegas-Paradise, NV Metropolitan Statistical Area","Las Vegas-Paradise, NV",315,32,3,3102,32003003102,31.02,Census Tract 31.02,G5020,S,1425467,0,36.1775196,-115.2342271
USA.PointAddress,M,100,A,"7710 W Sahara Ave, Las Vegas, Nevada, 89117",PointAddress,Las Vegas,89117,USA,0,-115.259251,36.143838,20142286,2014,2286,eConnect,7710 W. Sahara Ave,Suite 126,Las Vegas,89117,Security,2009,4345246,26,1.7021,1,32003,NV,Clark County,32,29820,"Las Vegas-Paradise, NV Metropolitan Statistical Area","Las Vegas-Paradise, NV",321,32,3,2916,32003002916,29.16,Census Tract 29.16,G5020,S,2775552,0,36.1515882,-115.2525576
USA.StreetAddress,M,100,A,"7730 W Sahara Ave, Las Vegas, Nevada, 89117",StreetAddress,Las Vegas,89117,USA,0,-115.259246,36.143839,20091476,2009,1477,WorldDoc,7730 W. Sahara Ave.,#105,Las Vegas,89117,Health,2000,7082286,59,2.173,1,32003,NV,Clark County,32,29820,"Las Vegas-Paradise, NV Metropolitan Statistical Area","Las Vegas-Paradise, NV",321,32,3,2916,32003002916,29.16,Census Tract 29.16,G5020,S,2775552,0,36.1515882,-115.2525576
