"","City","company_na","GEOID","full_name","ALAND","X","Y","Match_addr","year","industry","employees","revenue","growth","employeesgroup","revenuegroup","growthgroup"
"433","Atlanta","Streamlite",13121011306,"Atlanta-Sandy Springs-Marietta, GA",7177050,-84.512067,33.651204,"3000 Centre Pkwy, Atlanta, Georgia, 30344",2011,"Logistics & Transportation",682,143500000,2.544098,3,4,2
"434","Norcross","IBT Enterprises",13135050422,"Atlanta-Sandy Springs-Marietta, GA",2507751,-84.16783,33.907906,"30093, Norcross, Georgia",2008,"Construction",40,53166696,1.2707,2,3,2
"435","Norcross","IBT Holdings",13135050422,"Atlanta-Sandy Springs-Marietta, GA",2507751,-84.16783,33.907906,"30093, Norcross, Georgia",2010,"Construction",64,53214160,0.74,2,3,1
"436","Norcross","Alternative Apparel Inc",13135050424,"Atlanta-Sandy Springs-Marietta, GA",6944999,-84.168886,33.924204,"1650 Indian Brook Way, Norcross, Georgia, 30093",2008,"Retail",100,37202808,1.3583,2,2,2
"437","Lawrenceville","AWD Management Services",13135050511,"Atlanta-Sandy Springs-Marietta, GA",12774000,-84.078654,33.991248,"1745 N Brown Rd, Lawrenceville, Georgia, 30043",2013,"Government Services",57,6029633,1.2603,2,1,2
"438","Lawrenceville","Brightree",13135050511,"Atlanta-Sandy Springs-Marietta, GA",12774000,-84.078418,33.991677,"1735 N Brown Rd, Lawrenceville, Georgia, 30043",2015,"Health",408,96555000,1.2844,3,3,2
"439","Lawrenceville","HealthCare Partners",13135050511,"Atlanta-Sandy Springs-Marietta, GA",12774000,-84.078418,33.991677,"1735 N Brown Rd, Lawrenceville, Georgia, 30043",2011,"Health",37,20338994,2.29712,2,2,2
"440","Lawrenceville","Einstein HR",13135050521,"Atlanta-Sandy Springs-Marietta, GA",5563711,-83.990363,33.951191,"330 S Culver St SW, Lawrenceville, Georgia, 30046",2014,"Human Resources",2157,27306679,1.3464,3,2,2
"441","Mableton","Advance Drum Service",13067031313,"Atlanta-Sandy Springs-Marietta, GA",15495480,-84.501213,33.807484,"1835 Dickerson Dr SE, Mableton, Georgia, 30126",2013,"Manufacturing",41,5784000,0.7974,2,1,1
"442","Acworth","JKC Construction, Inc.",13067030219,"Atlanta-Sandy Springs-Marietta, GA",18551956,-84.70556,33.997294,"1720 Mars Hill Rd NW, Acworth, Georgia, 30101",2008,"Construction",0,7856022,1.1909,1,1,2
"443","Acworth","Symphony Tables",13067030219,"Atlanta-Sandy Springs-Marietta, GA",18551956,-84.70556,33.997294,"1720 Mars Hill Rd NW, Acworth, Georgia, 30101",2010,"Manufacturing",4,3106542,1.669,1,1,2
"444","Smyrna","Castle Medical",13067031206,"Atlanta-Sandy Springs-Marietta, GA",9186130,-84.513442,33.83057,"5700 Highlands Pkwy SE, Smyrna, Georgia, 30082",2015,"Health",392,83662958,254.85,3,3,3
"445","Smyrna","Curant Health",13067031206,"Atlanta-Sandy Springs-Marietta, GA",9186130,-84.498802,33.825596,"200 Technology Ct SE, Smyrna, Georgia, 30082",2015,"Health",103,138900000,4.3604,3,4,3
"446","Smyrna","HealthStat Rx",13067031206,"Atlanta-Sandy Springs-Marietta, GA",9186130,-84.498802,33.825596,"200 Technology Ct SE, Smyrna, Georgia, 30082",2013,"Health",68,66214158,2.4335,2,3,2
"447","Smyrna","Peach New Media",13067031206,"Atlanta-Sandy Springs-Marietta, GA",9186130,-84.497123,33.827419,"3300 Highlands Pkwy SE, Smyrna, Georgia, 30082",2010,"Business Products & Services",26,2646000,1.544,2,1,2
"448","Smyrna","planIT HARDWARE",13067031206,"Atlanta-Sandy Springs-Marietta, GA",9186130,-84.504791,33.828181,"4300 Highlands Pkwy SE, Smyrna, Georgia, 30082",2014,"Computer Hardware",11,10632000,1.8581,1,2,2
"449","Kennesaw","Adams, Evens & Ross",13067030229,"Atlanta-Sandy Springs-Marietta, GA",12994675,-84.58865,34.048783,"1301 Shiloh Rd NW, Kennesaw, Georgia, 30144",2008,"Business Products & Services",0,4285160,9.1457,1,1,3
"450","Kennesaw","Cobb Pediatric Therapy Services",13067030229,"Atlanta-Sandy Springs-Marietta, GA",12994675,-84.590646,34.003197,"1925 Vaughn Rd NW, Kennesaw, Georgia, 30144",2015,"Health",280,15298769,0.8872,3,2,1
"451","Kennesaw","Efreightsolutions",13067030229,"Atlanta-Sandy Springs-Marietta, GA",12994675,-84.582444,34.009602,"975 Cobb Place Blvd NW, Kennesaw, Georgia, 30144",2015,"Logistics & Transportation",48,39110509,3.1183,2,2,3
"452","Kennesaw","HomElectrical",13067030229,"Atlanta-Sandy Springs-Marietta, GA",12994675,-84.597868,34.004433,"1590 N Roberts Rd NW, Kennesaw, Georgia, 30144",2015,"Construction",8,2237965,17.6963,1,1,3
"453","Kennesaw","Ryla Teleservices",13067030229,"Atlanta-Sandy Springs-Marietta, GA",12994675,-84.594409,34.005719,"2120 Barrett Park Dr NW, Kennesaw, Georgia, 30144",2010,"Business Products & Services",3200,100100000,5.834,3,4,3
"454","Marietta","Blue Sky Exhibits",13067030602,"Atlanta-Sandy Springs-Marietta, GA",15960871,-84.550259,33.954484,"125 Church St NW, Marietta, Georgia, 30060",2010,"Advertising & Marketing",16,5489121,0.989,1,1,1
"455","Snellville","AdvertiseDoorToDoor.com",13135050720,"Atlanta-Sandy Springs-Marietta, GA",10530093,-84.016119,33.856661,"2483 Heritage Vlg SW, Snellville, Georgia, 30078",2010,"Advertising & Marketing",40,2614108,2.526,2,1,2
"456","Greenville","Highlander Vinyl Railing",13199970800,"Atlanta-Sandy Springs-Marietta, GA",403615599,-84.703524,33.030466,"55 Gay Rd, Greenville, Georgia, 30222",2009,"Construction",30,3657000,1.449,2,1,2
"457","McDonough","Windamir Development",13151070306,"Atlanta-Sandy Springs-Marietta, GA",35831099,-84.171119,33.380805,"2005 Meredith Park Dr, McDonough, Georgia, 30253",2010,"Government Services",58,15311551,4.09,2,2,3
"458","Atlanta","Big Nerd Ranch",13121008902,"Atlanta-Sandy Springs-Marietta, GA",6925439,-84.414745,33.802535,"30318, Atlanta, Georgia",2012,"Software",33,5692048,1.95,2,1,2
"459","Atlanta","Blue Companies",13121008902,"Atlanta-Sandy Springs-Marietta, GA",6925439,-84.411234,33.800804,"1700 Commerce Dr NW, Atlanta, Georgia, 30318",2015,"Construction",24,11045925,11.2567,2,2,3
"460","Atlanta","H&F Bread Company",13121008902,"Atlanta-Sandy Springs-Marietta, GA",6925439,-84.426913,33.792695,"1401 Ellsworth Industrial Blvd NW, Atlanta, Georgia, 30318",2015,"Food & Beverage",107,4617860,2.1499,3,1,2
"461","Atlanta","Look-Listen",13121008902,"Atlanta-Sandy Springs-Marietta, GA",6925439,-84.407819,33.79573,"1495 Northside Dr NW, Atlanta, Georgia, 30318",2015,"Advertising & Marketing",35,3896234,11.576,2,1,3
"462","Atlanta","Mobients",13121008902,"Atlanta-Sandy Springs-Marietta, GA",6925439,-84.426966,33.793952,"1425 Ellsworth Industrial Dr NW, Atlanta, Georgia, 30318",2012,"Business Products & Services",14,2409516,5.162,1,1,3
"463","Atlanta","Petrus Brands",13121008902,"Atlanta-Sandy Springs-Marietta, GA",6925439,-84.414745,33.802535,"30318, Atlanta, Georgia",2010,"Food & Beverage",28,5543402,0.773,2,1,1
"464","Atlanta","UniqueSquared.com",13121008902,"Atlanta-Sandy Springs-Marietta, GA",6925439,-84.432112,33.806482,"1159 Logan Cir NW, Atlanta, Georgia, 30318",2011,"Retail",32,24262959,24.61362,2,2,3
"465","Atlanta","Viscom International",13121008902,"Atlanta-Sandy Springs-Marietta, GA",6925439,-84.431688,33.799354,"1500 Southland Cir NW, Atlanta, Georgia, 30318",2008,"Consumer Products & Services",22,25331000,2.1127,2,2,2
